,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,Delaware,Florida,Georgia,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana,North Carolina,North Dakota,Nebraska,New Hampshire,New Jersey,New Mexico,Nevada,New York,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Virginia,Vermont,Washington,Wisconsin,West Virginia,Wyoming
Illinois,589.8672384424644,397.4882490937176,1273.7805914195587,1636.0125792558783,870.1111308705154,852.5400020216347,747.1308262642237,1000.4297831624941,686.8777398577045,210.90320530238688,1313.5692755053071,0.0,199.74301992277205,495.86741339347645,335.8230800634716,665.2518151817021,940.5995461534436,686.6450207814836,1057.7507115977025,319.61454117223366,497.04570467493943,225.60619884601027,570.8227381540295,1129.8352345382766,656.7135735837338,747.9623339803569,551.4307711713956,933.9013500941162,791.54788366906,938.5774165720221,1439.4921220971385,802.0532021103219,342.03538201489215,572.0334293516012,1603.694933880096,639.4869052283389,935.9814816795939,651.9868440419051,584.8031709989164,384.7717440138119,835.7595957701734,1152.182293611605,618.1654447624998,897.6810214268461,1619.8679348968199,219.74815275489667,497.18173288090475,936.564058450331
Indiana,572.2624623761529,501.84946897232066,1468.1216563358903,1835.7555462712728,1069.8541344640992,656.9207545035005,548.1384947897016,918.2887293235548,597.8743872149264,401.0186205228385,1504.3545007995524,199.74301992277205,0.0,693.228513535833,200.27434726013576,738.6431650040813,748.1004550017879,487.82523920537693,879.8920777292822,259.7767972699142,623.2108892684021,378.63789261903986,603.26223551638,1307.9839987421449,487.3321736610743,903.9388903791958,749.2714262166481,745.3490857726437,592.0389066450598,1128.3513440463184,1638.9199085849962,616.0676326650762,142.2923629343879,735.1367316060878,1794.824483277424,442.48606403089525,740.2780828204966,523.6494909004522,768.9880664293671,351.2472904777904,991.7138263949715,1351.8000601500812,431.2091194137896,718.8753057688164,1798.8407683877588,276.62866931243076,306.0178682132596,1129.9832871411154
Kansas,797.3964223023221,451.5227433149043,779.7123769278386,1151.8382232312113,392.9098977054042,1348.4046650563803,1233.0787623229373,1251.244967709932,994.4650571149818,345.9178859437094,910.3331659535482,495.86741339347645,693.228513535833,0.0,774.6865184983668,644.2499983331217,1435.9185148562012,1172.425006887426,1543.336828834641,759.2547187298729,566.3857316168247,367.7234006085484,686.2194211497286,809.4154626542155,1092.1000742310428,602.9457862063425,186.83543404190291,1427.5382767149779,1284.3657342874506,456.70271768279633,965.1977388316374,1294.7795524975807,834.5127825609906,286.6293329329757,1189.316472001992,1135.070861386287,1431.846761233977,1026.9955117486857,349.9345983055524,698.2875647283068,492.0869248251338,676.9264817411918,1082.1726608556733,1385.2122674401724,1266.2330935516718,601.3239252632479,971.957964367265,538.3682467513835
Kentucky,408.73890911244365,458.2968752484706,1520.9723765271842,1926.026302283725,1166.060438352159,649.2267269258921,480.210498167829,719.137328836113,399.22573820987174,545.423738450995,1640.6970948397209,335.8230800634716,200.27434726013576,774.6865184983668,0.0,638.5468782153562,750.7852063386241,421.98193116511555,921.037786727276,452.21864600211194,811.8751774809962,413.2239088192743,476.6594579202085,1465.0371113426002,324.50461845846473,1080.117452085353,869.3163938606696,762.7431309034083,552.6164193789737,1171.4492416971375,1739.1655765361277,648.6249495991357,192.3152911854624,740.0413221034107,1929.7349887528985,443.3697077380093,727.9849833663048,326.426825477043,919.1531483019508,205.16548629734012,973.9280627126096,1450.6017130991363,309.0894416776603,764.4834003492044,1954.5383677200446,473.51692123661076,214.06516488637172,1261.3350152678856
Louisiana,317.25706821904976,273.247328528455,1119.772160699107,1605.2188902301114,957.519405893419,1275.1638862341479,1077.3756103290793,686.1284645723134,547.6048160412594,735.0962304753705,1513.8770677454595,665.2518151817021,738.6431650040813,644.2499983331217,638.5468782153562,0.0,1378.654547706558,1027.2943938794458,1558.3475543157347,969.1219873519391,1076.7416988222062,463.5204308617157,178.77999020107694,1449.858188094942,818.3505676280115,1218.7967423704793,827.6209484173289,1395.8495576134555,1165.286755613128,789.6254896979377,1466.3044437812807,1286.2224799919086,816.856354404449,386.6263476970021,1771.8032259374997,1078.4663266395678,1349.069706099726,664.9751138169653,974.2059751562006,435.98644918548797,459.9840514007421,1203.7552482917047,879.9691978285283,1402.8114549090028,1887.674808758618,884.0259836015101,833.9495262863562,1164.5330172720867
Massachusetts,1098.664950824013,1206.454275791135,2214.356449526588,2558.647467593898,1797.3590589387034,103.84826349666568,324.953534661175,1165.397006651303,948.4063112603731,1112.984343313691,2165.9964357836543,940.5995461534436,748.1004550017879,1435.9185148562012,750.7852063386241,1378.654547706558,0.0,360.43924697536926,219.05957022891693,727.2827145210669,1183.4940350892052,1121.568133879896,1205.6707566393588,1925.8769489017232,614.9864171795068,1484.6692182101544,1463.8051194275367,55.151564774618976,225.9749319000491,1876.4056735981458,2353.723197610018,156.61387460739047,613.7489647092463,1473.3728392559428,2451.8768728435816,311.33851416632854,57.294725376106804,794.8164134149621,1437.4150899991353,944.3837931274911,1719.4205189723452,2072.2027582306123,516.5360008140302,160.22623452024038,2401.15676022521,883.9757518636483,544.9459480805344,1813.4699026901255
Maryland,739.5789778320312,878.4566987069275,1935.5973433747229,2321.057234812552,1555.4907059831335,257.54693334137517,60.67791617755553,833.1030259243805,591.247664845944,887.5270192580012,1986.9586660094212,686.6450207814836,487.82523920537693,1172.425006887426,421.98193116511555,1027.2943938794458,360.43924697536926,0.0,565.3628250136006,588.6249023875782,1054.7588733338457,825.7337406742106,851.632813048552,1777.3658084274773,261.651831560705,1353.7204792971622,1237.0936460491585,389.5981230450597,138.32314701806817,1588.32501559461,2126.0287196526388,319.5389921253991,346.8368997705335,1161.8005694445021,2277.326544252959,151.71744814737835,323.8944226337586,438.62321275380214,1248.8600025039398,598.8615593275896,1394.2053534606773,1838.4251082016833,156.25431927280354,434.36891231922556,2266.439999286597,709.7240607828645,208.08355462716122,1615.5019488627966
Maine,1292.5184688271843,1365.234622843463,2322.0527849574296,2632.658831932343,1883.2779793258044,311.5253580389732,537.6411053956094,1383.077238525352,1156.610269686996,1205.4028415431685,2204.0987032682897,1057.7507115977025,879.8920777292822,1543.336828834641,921.037786727276,1558.3475543157347,219.05957022891693,565.3628250136006,0.0,795.8405318672089,1214.1112940903124,1258.4988385542442,1390.1351211124081,1947.9262721477735,825.40233851451,1505.6994392987644,1546.0767139834993,177.13028515758776,438.52042397219884,1994.6943812634704,2422.6384485010767,272.4303001201929,759.7093931724905,1615.000268613648,2483.5087322604427,480.4697481944368,273.42584444240794,1003.8353009400406,1495.870569084637,1122.4163195246804,1869.7000530215505,2148.610891472764,720.7588235460092,161.0192741066003,2407.46702701284,958.5779340680517,728.9285233976207,1869.5611106559775
Michigan,830.4365984018044,710.3679209808917,1532.0292154560038,1839.67802737125,1087.4415696499336,660.7674632398366,640.5951815623629,1170.1892286227708,851.1236180935329,414.60243278655145,1440.0043196400045,319.61454117223366,259.7767972699142,759.2547187298729,452.21864600211194,969.1219873519391,727.2827145210669,588.6249023875782,795.8405318672089,0.0,471.10268796983956,545.2207396318339,850.070832920308,1208.2443527235052,685.2242270927662,773.5605698152706,750.2406680288639,705.4760335954655,644.688929805497,1215.6616254597802,1631.6879470990955,573.0366288551162,302.283218030857,885.8010038568995,1727.2472539385321,478.23953750628857,739.6853686223238,760.919772411518,710.4478838772654,609.1621554074696,1150.6144225955566,1354.3464946830495,597.7987527024561,643.8693038404746,1692.0094850685377,162.78663874430444,476.3085549062795,1086.5689921216808
Minnesota,1076.3443686808716,809.2643671383811,1225.966895698176,1442.2144186929497,747.2080488581232,1125.9846768276789,1108.899072311816,1497.393756766752,1183.4241862407493,344.0888837705932,990.0815560739347,497.04570467493943,623.2108892684021,566.3857316168247,811.8751774809962,1076.7416988222062,1183.4940350892052,1054.7588733338457,1214.1112940903124,471.10268796983956,0.0,622.2780027886188,1030.5063915943645,742.3951598856992,1109.2291603388412,302.984990971111,444.8152592549354,1154.6803329277736,1115.7716406784061,973.8348312635101,1227.7724161257863,1026.9438630221803,733.1709786794997,818.5138913094122,1271.6100263215749,949.3413632440581,1202.0795972375838,1137.6113534075964,317.43490593573864,880.6331064574476,1055.3074682793126,972.8387083299698,1041.1044756583904,1077.731616439818,1221.9918804002982,352.1451679364967,914.4757722621226,667.079513117844
