id,name,difficulty,type,views,share_date
https://www.mountainproject.com/route/109304357/mild-green,Mild Green,V1+ YDS,"Boulder, 15 ft (5 m)",627 total · 8/month,2014-08-02
https://www.mountainproject.com/route/111795400/el-pollo-verde,El Pollo Verde,V0+ YDS,"Boulder, 15 ft (5 m)",448 total · 7/month,2016-04-20
https://www.mountainproject.com/route/107908973/slabzilla,Slabzilla,V0 YDS,"Boulder, 18 ft (5 m)",415 total · 4/month,2012-11-27
https://www.mountainproject.com/route/106374555/se-arete,SE Arete,V4 YDS,"Boulder, 15 ft (5 m)",598 total · 4/month,2009-03-11
https://www.mountainproject.com/route/117973788/east-face-left,East Face Left,V0+ YDS,"Boulder, 8 ft (2 m)",225 total · 13/month,2019-11-01
https://www.mountainproject.com/route/117973798/east-face-right,East Face Right,V1 YDS,"Boulder, 8 ft (2 m)",194 total · 11/month,2019-11-01
https://www.mountainproject.com/route/117973806/north-east-arete,North East Arete,V3 YDS,"Boulder, 8 ft (2 m)",202 total · 11/month,2019-11-01
https://www.mountainproject.com/route/106374615/crystal-face-center-valentina,Crystal Face Center (Valentina?),V3 YDS,"Boulder, 12 ft (4 m)",405 total · 3/month,2009-03-11
https://www.mountainproject.com/route/106374486/ne-arete,NE Arete,V2 YDS,"Boulder, 12 ft (4 m)",660 total · 4/month,2009-03-11
https://www.mountainproject.com/route/117897282/crackd,Crack'd,V-easy YDS,"Boulder, 10 ft (3 m)",216 total · 12/month,2019-10-15
https://www.mountainproject.com/route/117897293/mantled,Mantle'd,V-easy YDS,"Boulder, 10 ft (3 m)",214 total · 12/month,2019-10-15
https://www.mountainproject.com/route/117897300/cactus-bloom,Cactus Bloom,V0- YDS,"Boulder, 1 ft (0 m)",214 total · 12/month,2019-10-15
https://www.mountainproject.com/route/117897320/dont-fall,Don't Fall,V0 YDS,"Boulder, 10 ft (3 m)",225 total · 12/month,2019-10-15
https://www.mountainproject.com/route/106374580/right-side-arete,Right Side Arete,V5-6 YDS,"Boulder, 15 ft (5 m)",379 total · 3/month,2009-03-11
https://www.mountainproject.com/route/117997360/pebbles,Pebbles,V1 YDS,"Boulder, 10 ft (3 m)",203 total · 12/month,2019-11-05
https://www.mountainproject.com/route/117997372/bam-bam,Bam Bam,V0 YDS,"Boulder, 10 ft (3 m)",182 total · 10/month,2019-11-05
